Tier,Where It Lands,Inches (as the guides state them),Centimetres (source-given or converted),Growing Out to This Tier,What the Guides Call It,Source URL,Scrape Date
Buzz cut,No visible length past the hairline; the clipper guard is the length,"Less than 1 inch" (shunsalon.com),2.5 cm (shunsalon.com),No grow-out figure in any opened guide; hairfinder's ladder starts at ear length,Buzz Cut (shunsalon.com; aplusnailssalon.com); Induction Cut and Crew Cut in the same clipper family (aplusnailssalon.com),https://shunsalon.com/article/how-long-is-your-hair-roughly + https://aplusnailssalon.com/25-popular-hair-lengths-every-woman-should-know-before-her-next-haircut/ + https://www.hairfinder.com/info/hair-lengths2.htm,2026-09-14
Crop / pixie,Above the jawline,Short Crop 1-2 in (shunsalon.com); Classic Pixie typically sits around 1-3 inches long (aplusnailssalon.com),2.5-5 cm for the crop band (shunsalon.com); no guide gives a pixie figure in centimetres,No grow-out figure stated,Short Crop (shunsalon.com); Classic / Textured / Long Pixie (aplusnailssalon.com),https://shunsalon.com/article/how-long-is-your-hair-roughly + https://aplusnailssalon.com/25-popular-hair-lengths-every-woman-should-know-before-her-next-haircut/,2026-09-14
Ear length,At or just above the earlobes,"6 in for straight hair (hairstylecamp.com); approximately 2 to 4 inches from the crown (lorealparisusa.com) - a live dispute; lorealparisusa.com states its basis as crown-to-ends",10-15 cm (wimpole.com); 6 in x 2.54 = 15.2 cm (arithmetic on hairstylecamp.com's figure),The starting rung of hairfinder's ladder; no months below it,Ear Length (hairstylecamp.com); ear length hair (lorealparisusa.com; wimpole.com); Ear-Length Hair (aplusnailssalon.com),https://hairstylecamp.com/hair-length-chart/ + https://www.lorealparisusa.com/beauty-magazine/hair-style/long-hairstyles/hair-length-chart + https://wimpole.com/blog/hair-length-chart/ + https://aplusnailssalon.com/25-popular-hair-lengths-every-woman-should-know-before-her-next-haircut/ + https://www.hairfinder.com/info/hair-lengths2.htm,2026-09-14
Chin / jaw length,At the jawline or the chin,"8 in straight (hairstylecamp.com); 6-8 in (lorealparisusa.com); 4-6 in (shunsalon.com) - three published positions, all stated, none reconciled","15-20 cm (wimpole.com); 10-15 cm (shunsalon.com); 8 in x 2.54 = 20.3 cm (arithmetic on hairstylecamp.com's figure)","Ear to chin: 6 months (hairfinder.com, at 0.5 in per month on a 5 ft 7 in frame)","Chin-length (hairstylecamp.com); Chin-length hair (lorealparisusa.com; wimpole.com); Chin Length (shunsalon.com); Jaw-Length Bob and Chin-Length Bob (aplusnailssalon.com)",https://hairstylecamp.com/hair-length-chart/ + https://www.lorealparisusa.com/beauty-magazine/hair-style/long-hairstyles/hair-length-chart + https://shunsalon.com/article/how-long-is-your-hair-roughly + https://wimpole.com/blog/hair-length-chart/ + https://www.hairfinder.com/info/hair-lengths2.htm + https://aplusnailssalon.com/25-popular-hair-lengths-every-woman-should-know-before-her-next-haircut/,2026-09-14
Neck length,At the nape, base of the neck,"No natural-hair guide states one; wimpole.com's 20-30 cm converts to 7.9-11.8 in (arithmetic). Extension chart, different basis: 10 in straight = Neck-length (abhair.com, wig drop)",20-30 cm (wimpole.com),Chin to neck: 3-4 months (hairfinder.com),Neck-length hair (wimpole.com); Neck-Length Hair and Chin-to-Neck Length Hair (aplusnailssalon.com),https://wimpole.com/blog/hair-length-chart/ + https://www.hairfinder.com/info/hair-lengths2.htm + https://aplusnailssalon.com/25-popular-hair-lengths-every-woman-should-know-before-her-next-haircut/ + https://www.abhair.com/pages/length-guide,2026-09-14
Shoulder length,The ends touch the shoulder point,"12 in straight, 14 in wavy, 16 in curly (hairstylecamp.com); around twelve inches (lorealparisusa.com); 12-15 in (shunsalon.com)","30-40 cm (wimpole.com); 30-38 cm (shunsalon.com); 12 in x 2.54 = 30.5 cm (arithmetic on hairstylecamp.com's figure)","Neck to shoulder: 3-4 months (hairfinder.com)","Shoulder-length (hairstylecamp.com); Shoulder-length hair (lorealparisusa.com; wimpole.com); Shoulder Length (shunsalon.com); Shoulder-Length Hair (aplusnailssalon.com); wig charts put 12 in at the shoulder for straight hair (abhair.com; vietnamhairsuppliers.com)",https://hairstylecamp.com/hair-length-chart/ + https://www.lorealparisusa.com/beauty-magazine/hair-style/long-hairstyles/hair-length-chart + https://shunsalon.com/article/how-long-is-your-hair-roughly + https://wimpole.com/blog/hair-length-chart/ + https://aplusnailssalon.com/25-popular-hair-lengths-every-woman-should-know-before-her-next-haircut/ + https://www.abhair.com/pages/length-guide + https://vietnamhairsuppliers.com/hair-length-chart-find-your-ideal-hair-length-p133.html + https://www.hairfinder.com/info/hair-lengths2.htm,2026-09-14
Collarbone / lob,The ends land at the collarbone,"No natural-hair guide gives an inch figure; wimpole.com's 30-35 cm converts to 11.8-13.8 in (arithmetic). Wig basis, for contrast: 10 in can fall near your collarbone (subellahair.com); 16 in falls around the collarbone (vietnamhairsuppliers.com)",30-35 cm (wimpole.com),Shoulder to collarbone: 4 months (hairfinder.com),"Collarbone-length hair (wimpole.com); Collarbone-Length Hair (aplusnailssalon.com); Long Bob / Lob (aplusnailssalon.com); gfuhair.com's wig guide calls 16-18 in collarbone to upper back",https://wimpole.com/blog/hair-length-chart/ + https://www.hairfinder.com/info/hair-lengths2.htm + https://www.subellahair.com/blogs/blog/hair-length-chart-how-long-is-14-16-18-20-22-24-26-28-inch-hair + https://vietnamhairsuppliers.com/hair-length-chart-find-your-ideal-hair-length-p133.html + https://gfuhair.com/size-guide + https://aplusnailssalon.com/25-popular-hair-lengths-every-woman-should-know-before-her-next-haircut/,2026-09-14
Armpit / underarm,At the armpit line,"18 in straight, 20 in wavy, 22 in curly (hairstylecamp.com); approximately sixteen inches (lorealparisusa.com); 18-24 in (shunsalon.com) - the 16 versus 18 split is stated, not settled","45-60 cm (shunsalon.com); 18 in x 2.54 = 45.7 cm (arithmetic on hairstylecamp.com's figure)","No leg figure: hairfinder's ladder jumps from collarbone straight to bra strap, and no other opened guide gives months for armpit length","Armpit-length (hairstylecamp.com); armpit-length hair (lorealparisusa.com); Armpit Length (shunsalon.com); Armpit-Length Hair (aplusnailssalon.com)",https://hairstylecamp.com/hair-length-chart/ + https://www.lorealparisusa.com/beauty-magazine/hair-style/long-hairstyles/hair-length-chart + https://shunsalon.com/article/how-long-is-your-hair-roughly + https://aplusnailssalon.com/25-popular-hair-lengths-every-woman-should-know-before-her-next-haircut/,2026-09-14
Bra strap / mid-back,A few inches below the armpit, across the shoulder blades and the middle of the back (hairfinder.com; lorealparisusa.com),"24-26 in straight, 26-28 wavy, 28-30 curly (hairstylecamp.com); around twenty inches (lorealparisusa.com); 24-30 in (shunsalon.com). Wig basis, different landmarks for the same numbers: 16 in = bra strap (subellahair.com); 20 in = mid-back (vietnamhairsuppliers.com; abhair.com); 22 in = lower back (abhair.com)","55-65 cm (wimpole.com); 60-75 cm (shunsalon.com); 20 in x 2.54 = 50.8 cm (arithmetic on lorealparisusa.com's figure)","Collarbone to bra strap: 12 months; chin-length start to bra strap: about 20 months (hairfinder.com). Internal note: hairfinder.com's own leg figures from chin sum to 22-24 months, not 20 - both the stated total and the sum are shown, unadjusted. Bra strap to mid-back: 6 months more","Bra Strap Length (hairfinder.com; aplusnailssalon.com); mid-back (hairstylecamp.com; lorealparisusa.com; shunsalon.com; wimpole.com); aplusnailssalon.com splits bra strap and mid-back into two separate tiers; subellahair.com's wig chart calls 18 in around your shoulder blade",https://hairstylecamp.com/hair-length-chart/ + https://www.lorealparisusa.com/beauty-magazine/hair-style/long-hairstyles/hair-length-chart + https://shunsalon.com/article/how-long-is-your-hair-roughly + https://wimpole.com/blog/hair-length-chart/ + https://www.hairfinder.com/info/hair-lengths2.htm + https://www.subellahair.com/blogs/blog/hair-length-chart-how-long-is-14-16-18-20-22-24-26-28-inch-hair + https://vietnamhairsuppliers.com/hair-length-chart-find-your-ideal-hair-length-p133.html + https://www.abhair.com/pages/length-guide + https://aplusnailssalon.com/25-popular-hair-lengths-every-woman-should-know-before-her-next-haircut/,2026-09-14
Waist length,At the natural waistline,"30-36 in (shunsalon.com); wimpole.com's 65-75 cm converts to 25.6-29.5 in (arithmetic) - the two charts disagree at this tier and both numbers stand","65-75 cm (wimpole.com); 75-90 cm (shunsalon.com)","Mid-back to waist: 8 months (hairfinder.com)","Waist Length (shunsalon.com; hairfinder.com); Waist-length hair (wimpole.com); Waist-Length Hair (aplusnailssalon.com); wig charts: 26 in can reach your waist (subellahair.com); gfuhair.com groups 24-30 in as lower back to waist",https://shunsalon.com/article/how-long-is-your-hair-roughly + https://wimpole.com/blog/hair-length-chart/ + https://www.hairfinder.com/info/hair-lengths2.htm + https://www.subellahair.com/blogs/blog/hair-length-chart-how-long-is-14-16-18-20-22-24-26-28-inch-hair + https://gfuhair.com/size-guide + https://aplusnailssalon.com/25-popular-hair-lengths-every-woman-should-know-before-her-next-haircut/,2026-09-14
