"Common reference level","Approximate depth description","How to read the level","Common direction to discuss","What to watch for"
"Level 1","Deepest black or near-black","On many brand charts, the lowest number marks the deepest end of that brand’s scale.","Discuss whether you mean a visually very deep base or a specific brand’s named shade.","Another brand can label a deep shade differently. Check its own swatch and wording rather than transferring this number across."
"Level 2","Very dark brown or soft black-brown","This commonly sits one step above the deepest reference level on charts that use a numbered depth scale.","Describe the target as very dark with visible brown only in brighter light, if that is what you mean.","Lighting can make this level read black in one room and brown in another; a photo is not a substitute for the brand chart."
"Level 3","Dark brown","Read it as a depth position, not as a guarantee of warmth, ashiness, or any particular reflection.","Separate the depth request from the tone request: dark brown is the level language; the tonal family is a second choice.","The starting base can make the same named shade show a different visible cast."
"Level 4","Medium-dark brown","Many charts place this in the brown range between dark and medium-looking brown.","Use it to start a conversation about depth, then point to the brand’s own tone letters or shade description.","Do not expect the chart position to describe the finished tone by itself."
"Level 5","Medium brown","Often a middle brown reference on a brand scale that runs from deepest to lightest.","Say whether your goal is to stay around a medium brown depth or move toward it from your present base.","Porosity, previous colour, and the starting depth can all change how much depth is visible after colouring."
"Level 6","Light brown or dark blonde","This is a transition area on many charts, where brand names may switch from brown language to blonde language.","Use both a written brand shade name and a swatch viewed in person when possible.","Names are especially inconsistent here; do not rely on the word “blonde” or “brown” alone."
"Level 7","Medium blonde or dark blonde","Many scales place it on the blonde side of the transition, but the exact label belongs to each brand.","Describe the depth separately from whether you want a warmer, cooler, or more neutral-looking direction.","A phone image can shift this level strongly with exposure and white balance."
"Level 8","Light blonde","Commonly used as a lighter blonde reference on numbered brand charts.","Ask to compare the intended reference with your starting base under ordinary light before deciding on a formula.","Lift, existing colour, texture, and application process affect what becomes visible; a level is not an outcome guarantee."
"Level 9","Very light blonde","On many scales this sits near the light end, above light blonde references.","Use the number only with the exact brand chart in front of you, plus a clear description of the visible tone you are comparing.","Highly light-looking images are sensitive to camera exposure, screen brightness, and the underlying base."
"Level 10","Lightest blonde reference","Many common ten-level charts use this as the lightest numbered reference; other brand charts can extend, compress, or rename their scales.","Check whether the specific brand uses ten levels at all before repeating this number as a request.","It is not a global ceiling and it does not predict what a process will produce on any individual starting base."
